arm,diagnostic,split,coarse_type,pi_mae,s_mae,theta1_mae,theta2_mae,s_defined,rows,theta_mae_bothsubtypes
D1_truepi_joint,D1,test,B,0.0,0.4269675636363636,0.09937343725513409,0.09937343725513409,1320,1320,0.09937343725513409
D1_truepi_joint,D1,test,CD4 T,0.0,0.5,0.12639145454545456,0.12639145454545456,1320,1320,0.12639145454545456
D1_truepi_joint,D1,test,CD8 T,0.0,0.35949467727272727,0.08884552334196212,0.08884552334196212,1320,1320,0.08884552334196212
D1_truepi_joint,D1,test,Mono,0.0,0.2165338856060606,0.053549376526537885,0.053549376526537885,1320,1320,0.053549376526537885
D1_truepi_joint,D1,val,B,0.0,0.46235787500000003,0.11154338779296591,0.11154338779296591,1320,1320,0.11154338779296591
D1_truepi_joint,D1,val,CD4 T,0.0,0.4999097310606061,0.12636888731060605,0.12636888731060605,1320,1320,0.12636888731060605
D1_truepi_joint,D1,val,CD8 T,0.0,0.39768709545454545,0.09830491895346363,0.09830491895346363,1320,1320,0.09830491895346363
D1_truepi_joint,D1,val,Mono,0.0,0.2511794325757576,0.062100272385734845,0.062100272385734845,1320,1320,0.062100272385734845
D1_truepi_rna,D1,test,B,0.0,0.3302093212121212,0.07420644042775,0.07420644042775,1320,1320,0.07420644042775
D1_truepi_rna,D1,test,CD4 T,0.0,0.4225913659090909,0.09959608546649469,0.09959608546649469,1320,1320,0.09959608546649469
D1_truepi_rna,D1,test,CD8 T,0.0,0.294792575,0.07287993842571969,0.07287993842571969,1320,1320,0.07287993842571969
D1_truepi_rna,D1,test,Mono,0.0,0.08554404242424243,0.02114742469008788,0.021147424690087877,1320,1320,0.02114742469008788
D1_truepi_rna,D1,val,B,0.0,0.32624706666666664,0.06933216824352424,0.06933216824352424,1320,1320,0.06933216824352424
D1_truepi_rna,D1,val,CD4 T,0.0,0.4042483446969697,0.09424967482498031,0.09424967482498031,1320,1320,0.09424967482498031
D1_truepi_rna,D1,val,CD8 T,0.0,0.2598355659090909,0.06421695189258333,0.06421695189258333,1320,1320,0.06421695189258333
D1_truepi_rna,D1,val,Mono,0.0,0.09404550227272727,0.023257098876375757,0.023257098876375757,1320,1320,0.023257098876375757
D2_cross_full,D2,test,B,0.06884216212121212,0.4379314537878788,0.07352431072723939,0.1397001567602121,1320,1320,0.10661223374372575
D2_cross_full,D2,test,CD4 T,0.06771534772727272,0.48521198863636367,0.09778757289095379,0.16307839837493862,1320,1320,0.1304329856329462
D2_cross_full,D2,test,CD8 T,0.022793476515151515,0.28698402575757576,0.07111553791122727,0.06479085728434243,1320,1320,0.06795319759778484
D2_cross_full,D2,test,Mono,0.02415327196969697,0.23401076136363635,0.05168813765136667,0.0606218368805894,1320,1320,0.056154987265978035
D2_cross_full,D2,val,B,0.04892179924242424,0.46143751742424244,0.08921287174154696,0.12504765643851667,1320,1320,0.10713026409003182
D2_cross_full,D2,val,CD4 T,0.061848463636363635,0.4884434303030303,0.08870100009114622,0.14983880381823714,1320,1320,0.11926990195469167
D2_cross_full,D2,val,CD8 T,0.020666222727272726,0.4014100840909091,0.09751006409494621,0.09461729141709772,1320,1320,0.09606367775602197
D2_cross_full,D2,val,Mono,0.04542772121212121,0.24198731818181815,0.05413181286514091,0.08079948271236363,1320,1320,0.06746564778875228
D2_cross_matched,D2,test,B,0.06926704242424242,0.4278913590909091,0.07408526537919698,0.14050318991183333,1320,1320,0.10729422764551516
D2_cross_matched,D2,test,CD4 T,0.07041425606060606,0.4768198416666667,0.09449940660496894,0.16173202130620834,1320,1320,0.12811571395558863
D2_cross_matched,D2,test,CD8 T,0.02469240681818182,0.3194548181818182,0.07872719585852955,0.06972499694683258,1320,1320,0.07422609640268107
D2_cross_matched,D2,test,Mono,0.025680153030303028,0.205823903030303,0.04241196850811818,0.05346806753772273,1320,1320,0.04794001802292046
D2_cross_matched,D2,val,B,0.05208627424242425,0.446362128030303,0.08135067769095986,0.11394817547343561,1320,1320,0.09764942658219773
D2_cross_matched,D2,val,CD4 T,0.07090062196969697,0.4295095522727273,0.06942211042035,0.13220624921427424,1320,1320,0.10081417981731211
D2_cross_matched,D2,val,CD8 T,0.020451865909090906,0.43800473636363635,0.10536541650977499,0.1045237026722947,1320,1320,0.10494455959103485
D2_cross_matched,D2,val,Mono,0.05357846818181818,0.19872405151515152,0.04051787501881212,0.08076092510251667,1320,1320,0.0606394000606644
D2_same_donor,D2,test,B,0.022976287878787877,0.1331766325757576,0.025561127887388634,0.032438424619250755,1320,1320,0.028999776253319696
D2_same_donor,D2,test,CD4 T,0.01770233484848485,0.31763262954545457,0.07646483947983031,0.0695294295771,1320,1320,0.07299713452846515
D2_same_donor,D2,test,CD8 T,0.02178978181818182,0.19623560303030305,0.048951138539846215,0.05179306221769924,1320,1320,0.050372100378772725
D2_same_donor,D2,test,Mono,0.02044012272727273,0.07912465757575757,0.020926911749914394,0.023878346356918937,1320,1320,0.022402629053416667
D2_same_donor,D2,val,B,0.028913108333333333,0.1426617568181818,0.0249116265966803,0.038242123235880304,1320,1320,0.031576874916280306
D2_same_donor,D2,val,CD4 T,0.01921441212121212,0.34154928863636363,0.08270136718268485,0.0752628380412697,1320,1320,0.07898210261197727
D2_same_donor,D2,val,CD8 T,0.02149904621212121,0.20780347272727273,0.04922778549845379,0.05519515190913409,1320,1320,0.05221146870379394
D2_same_donor,D2,val,Mono,0.027706776515151514,0.07655767878787878,0.023133121337159848,0.02496736537079621,1320,1320,0.02405024335397803
D3_stage1_joint,D3,test,B,0.06884216212121212,0.4379314537878788,0.07352431072723939,0.1397001567602121,1320,1320,0.10661223374372575
D3_stage1_joint,D3,test,CD4 T,0.06771534772727272,0.48521198863636367,0.09778757289095379,0.16307839837493862,1320,1320,0.1304329856329462
D3_stage1_joint,D3,test,CD8 T,0.022793476515151515,0.28698402575757576,0.07111553791122727,0.06479085728434243,1320,1320,0.06795319759778484
D3_stage1_joint,D3,test,Mono,0.02415327196969697,0.23401076136363635,0.05168813765136667,0.0606218368805894,1320,1320,0.056154987265978035
