arm,diagnostic,split,pi_mae,pi_rmse,s_mae,theta8_mae,theta8_rmse
D1_truepi_joint,D1,test,0.0,0.0,0.3757490316287879,0.09203994791727216,0.1024860362513905
D1_truepi_joint,D1,val,0.0,0.0,0.4027835335227272,0.09957936661069262,0.11016215105175266
D1_truepi_rna,D1,test,0.0,0.0,0.2832843261363637,0.06695747225251307,0.08104866775399468
D1_truepi_rna,D1,val,0.0,0.0,0.2710941198863636,0.06276397345936591,0.0757212984571303
D2_cross_full,D2,test,0.045876064583333334,0.0540046466275316,0.36103455738636364,0.09028835106010871,0.10777725738449795
D2_cross_full,D2,val,0.044216051704545456,0.051590807656132616,0.3983195875,0.09748237289737444,0.11057212532172749
D2_cross_matched,D2,test,0.04751346458333333,0.05579087642392164,0.35749748049242425,0.08939401400667633,0.10758340813000894
D2_cross_matched,D2,val,0.04925430757575758,0.05799623249588873,0.37815011704545454,0.09101189151280227,0.10391325125316306
D2_same_donor,D2,test,0.020727131818181817,0.023996732676152897,0.1815423806818182,0.043692910053493565,0.054475874061739975
D2_same_donor,D2,val,0.024333335795454544,0.028251947245625922,0.19214304924242426,0.046705172396507386,0.05810828017219953
D3_stage1_joint,D3,test,0.045876064583333334,0.0540046466275316,0.36103455738636364,0.09028835106010871,0.10777725738449795
D3_stage1_joint,D3,val,0.044216051704545456,0.051590807656132616,0.3983195875,0.09748237289737444,0.11057212532172749
D3_stage2_rna,D3,test,0.045876064583333334,0.0540046466275316,0.28634478598484847,0.06927995541801704,0.08560803788396189
D3_stage2_rna,D3,val,0.044216051136363635,0.051590807244254806,0.28368997765151516,0.0679897509599894,0.08312596219863383
