arm,diagnostic,split,pi_mae,pi_rmse,s_mae,theta8_mae,theta8_rmse
D1_truepi_joint,D1,test,0.0,0.0,0.37827503919270833,0.09311372872018533,0.10237893498234873
D1_truepi_joint,D1,val,0.0,0.0,0.4063712735243056,0.10073325548370408,0.10991907419604321
D1_truepi_rna,D1,test,0.0,0.0,0.28125380230034724,0.06736680714866086,0.0810331859400174
D1_truepi_rna,D1,val,0.0,0.0,0.2689426360677083,0.06339021545323763,0.07619933582741475
D2_cross_full,D2,test,0.04584500885416667,0.05395665051430337,0.36305135703125,0.09099200045455247,0.10760837557828118
D2_cross_full,D2,val,0.043878707161458336,0.051079498001616895,0.40096829665798606,0.09825615487571271,0.11012875311447264
D2_cross_matched,D2,test,0.047412639887152774,0.055645515075423375,0.35871623702256944,0.0899386546572135,0.10729809821664027
D2_cross_matched,D2,val,0.04900822096354167,0.05765622948740656,0.3793046095486111,0.09148013251451284,0.10357206211832189
D2_same_donor,D2,test,0.020839440972222224,0.024101136001381675,0.17928672426215275,0.043844276849223526,0.054593128463451004
D2_same_donor,D2,val,0.02439044513888889,0.02831442002297669,0.19293263754340279,0.04759968524249891,0.05914758597466588
D3_stage1_joint,D3,test,0.04584500885416667,0.05395665051430337,0.36305135703125,0.09099200045455247,0.10760837557828118
D3_stage1_joint,D3,val,0.043878707161458336,0.051079498001616895,0.40096829665798606,0.09825615487571271,0.11012875311447264
D3_stage2_rna,D3,test,0.04584500885416667,0.05395665051430337,0.28447113723958334,0.06916030801935395,0.08494395544335365
D3_stage2_rna,D3,val,0.043878706640625,0.051079497624062234,0.2821011693142361,0.06822236218400812,0.08295113714082458
