arm,diagnostic,split,donor,pi_mae,pi_rmse,s_mae,theta8_mae,theta8_rmse
D1_truepi_joint,D1,test,P4,0.0,0.0,0.35023806727430556,0.08492465592096068,0.09359193736288371
D1_truepi_joint,D1,test,P8,0.0,0.0,0.40631201111111115,0.10130280151940999,0.11116593260181376
D1_truepi_joint,D1,val,P3,0.0,0.0,0.39421437144097227,0.09754491333440209,0.10766601740215832
D1_truepi_joint,D1,val,P7,0.0,0.0,0.4185281756076389,0.10392159763300608,0.11217213098992812
D1_truepi_rna,D1,test,P4,0.0,0.0,0.2775535708333333,0.06514652068628551,0.07802068918194456
D1_truepi_rna,D1,test,P8,0.0,0.0,0.2849540337673611,0.0695870936110362,0.08404568269809023
D1_truepi_rna,D1,val,P3,0.0,0.0,0.25372957230902776,0.059369783448997654,0.07249802183439064
D1_truepi_rna,D1,val,P7,0.0,0.0,0.2841556998263889,0.0674106474574776,0.07990064982043887
D2_cross_full,D2,test,P4,0.052753380555555555,0.06213129487679752,0.3418032425347222,0.08561871959429287,0.10478774776696922
D2_cross_full,D2,test,P8,0.03893663715277778,0.04578200615180922,0.38429947152777777,0.09636528131481206,0.11042900338959312
D2_cross_full,D2,val,P3,0.04226440277777778,0.049293796373989826,0.38811501944444443,0.09653977828004705,0.11102251148706055
D2_cross_full,D2,val,P7,0.045493011545138885,0.052865199629243964,0.41382157387152774,0.09997253147137838,0.10923499474188472
D2_cross_matched,D2,test,P4,0.05306819010416667,0.06230091860915426,0.3413198267361111,0.08556176723299819,0.10390267923016591
D2_cross_matched,D2,test,P8,0.041757089670138886,0.04899011154169249,0.37611264730902777,0.09431554208142881,0.11069351720311461
D2_cross_matched,D2,val,P3,0.048377496788194446,0.056689299991861605,0.33990509218750004,0.08262075935349505,0.0972206622061782
D2_cross_matched,D2,val,P7,0.04963894513888889,0.05862315898295152,0.4187041269097222,0.10033950567553064,0.10992346203046557
D2_same_donor,D2,test,P4,0.022342084375,0.02575430334336281,0.18871824114583333,0.046057690602771005,0.05673590672500549
D2_same_donor,D2,test,P8,0.019336797569444446,0.022447968659400536,0.1698552073784722,0.04163086309567604,0.05245035020189652
D2_same_donor,D2,val,P3,0.026151168663194443,0.03067446901177162,0.19646431423611113,0.049043211822118404,0.060187345942075796
D2_same_donor,D2,val,P7,0.022629721614583334,0.025954371034181762,0.18940096085069447,0.04615615866287943,0.05810782600725597
D3_stage1_joint,D3,test,P4,0.052753380555555555,0.06213129487679752,0.3418032425347222,0.08561871959429287,0.10478774776696922
D3_stage1_joint,D3,test,P8,0.03893663715277778,0.04578200615180922,0.38429947152777777,0.09636528131481206,0.11042900338959312
D3_stage1_joint,D3,val,P3,0.04226440277777778,0.049293796373989826,0.38811501944444443,0.09653977828004705,0.11102251148706055
D3_stage1_joint,D3,val,P7,0.045493011545138885,0.052865199629243964,0.41382157387152774,0.09997253147137838,0.10923499474188472
D3_stage2_rna,D3,test,P4,0.052753380555555555,0.06213129487679752,0.28089684869791665,0.06806473298201858,0.08453453237623658
D3_stage2_rna,D3,test,P8,0.03893663715277778,0.04578200615180922,0.28804542578125003,0.07025588305668932,0.0853533785104707
D3_stage2_rna,D3,val,P3,0.042264402430555556,0.04929379625516131,0.2669396402777778,0.06481358554817865,0.08026994982863714
D3_stage2_rna,D3,val,P7,0.045493010850694446,0.05286519899296315,0.29726269835069447,0.07163113881983758,0.08563232445301201
