scenario,model,n_used,s_denom,cal1_pi_mae,cal1_pi_rmse,cal1_s_mae,cal1_th_mae,cal1_th_rmse,cal2_pi_mae,cal2_pi_rmse,cal2_s_mae,cal2_th_mae,cal2_th_rmse,split
S0,M1,120,0,0.14852812067202603,0.17933170629300496,,0.07426395833333334,0.0896656155230486,0.14852812067202603,0.17933170629300493,,0.07426395833333334,0.0896656155230486,test
S0,M2,120,0,0.05255165619451183,0.06300250442442,,0.02627479166666667,0.031500234473218446,0.05255165619451184,0.06300250442442,,0.026274791666666665,0.03150023447321845,test
S0,M3,120,120,0.1518160931621807,0.18126685846116544,0.34993626153144,0.1038392855625,0.13682862484023525,0.1518160931621807,0.18126685846116544,0.3499362615314399,0.10383928556249998,0.13682862484023525,test
S0,M4,120,120,0.04563722540049124,0.05356962371836123,0.3675532875052214,0.09282894885416668,0.10658162013831937,0.045637225400491234,0.053569623718361235,0.3675532875052214,0.09282894885416668,0.10658162013831936,test
S0,Stacked,120,120,0.04563722540049124,0.05356962371836123,0.34993626153144,0.08732904008333334,0.10155167228540349,0.045637225400491234,0.053569623718361235,0.3499362615314399,0.08732904008333332,0.10155167228540349,test
S1,M1,360,0,0.1432047953076441,0.17264304408405945,,0.07161552083333333,0.08645716762501554,0.14320479530764413,0.17264304408405945,,0.07161552083333332,0.08645716762501554,test
S1,M2,360,0,0.0528007283291326,0.06346061257916323,,0.026422118055555555,0.03206498560841866,0.052800728329132594,0.06346061257916323,,0.026422118055555555,0.03206498560841865,test
S1,M3,360,360,0.14172703381855833,0.16973269257122658,0.3425750038214086,0.10091417484027779,0.13405978002182595,0.14172703381855836,0.16973269257122658,0.34257500382140854,0.10091417484027777,0.13405978002182595,test
S1,M4,360,360,0.04689959025593886,0.055551398157788326,0.3730205575550638,0.0929957816875,0.11066581272426432,0.04689959025593886,0.055551398157788326,0.37302055755506375,0.0929957816875,0.11066581272426433,test
S1,Stacked,360,360,0.04689959025593886,0.055551398157788326,0.3425750038214086,0.08442333134722223,0.10090685898521393,0.04689959025593886,0.055551398157788326,0.34257500382140854,0.08442333134722223,0.10090685898521394,test
S2,M1,360,0,0.15432255413582335,0.18546551644266165,,0.08914645833333333,0.09970634505467613,0.15432255413582335,0.18546551644266165,,0.08914645833333333,0.09970634505467615,test
S2,M2,360,0,0.0526387938422001,0.06289734964458536,,0.03816875,0.045486376036679876,0.0526387938422001,0.06289734964458538,,0.03816875,0.04548637603667987,test
S2,M3,360,360,0.15300946067208515,0.1822291400406519,0.34491926312049387,0.10394356971527777,0.13589721865281346,0.15300946067208515,0.18222914004065188,0.34491926312049387,0.10394356971527778,0.13589721865281343,test
S2,M4,360,360,0.045072151584744785,0.052995028000220004,0.3617611535561862,0.09121510393750001,0.10577073135710033,0.04507215158474479,0.052995028000220004,0.3617611535561862,0.0912151039375,0.10577073135710033,test
S2,Stacked,360,360,0.045072151584744785,0.052995028000220004,0.34491926312049387,0.0852130670486111,0.0998210128885981,0.04507215158474479,0.052995028000220004,0.34491926312049387,0.0852130670486111,0.09982101288859811,test
S3,M1,480,0,0.13977090954324892,0.1684192340006147,,0.08769262062500001,0.09535672932777611,0.13977090954324894,0.1684192340006147,,0.087692620625,0.09535672932777611,test
S3,M2,480,0,0.05192621448344033,0.062071250994317775,,0.04336329770833334,0.05247024973786259,0.05192621448344032,0.062071250994317775,,0.04336329770833334,0.052470249737862594,test
S3,M3,480,480,0.13901998378114003,0.1665463009821341,0.3323411992206151,0.09821940782291666,0.13120244114354815,0.13901998378114003,0.1665463009821341,0.33234119922061517,0.09821940782291666,0.13120244114354815,test
S3,M4,480,480,0.04577106092165231,0.05371055446545738,0.34987041366542243,0.086927364546875,0.1074166738962242,0.045771060921652305,0.05371055446545738,0.34987041366542243,0.08692736454687498,0.1074166738962242,test
S3,Stacked,480,480,0.04577106092165231,0.05371055446545738,0.3323411992206151,0.08138714449479166,0.09891476841987311,0.045771060921652305,0.05371055446545738,0.33234119922061517,0.08138714449479169,0.09891476841987311,test
ALL_SCENARIOS,M1,1320,0,0.1464565949146856,0.1764648752050852,,0.08067963953125001,0.09279646438262909,0.14547216428867493,0.17521221126142067,,0.08248367075757576,0.09359846098847527,test
ALL_SCENARIOS,M2,1320,0,0.05247934821232122,0.0628579294106216,,0.03355723935763889,0.04038046146404489,0.052415916422024644,0.06276012682481245,,0.03577278060606061,0.04309411985090585,test
ALL_SCENARIOS,M3,1320,1320,0.14639314285849103,0.17494374801379453,0.3424429319234894,0.10172910948524305,0.1344970161646057,0.14473686470533376,0.17303068729321247,0.34016216902178253,0.10102637732007574,0.13377358049439508,test
ALL_SCENARIOS,M4,1320,1320,0.045845007040706806,0.05395665108545673,0.3630513530704734,0.09099179975651042,0.10760870952897705,0.0458760631462865,0.05400464727765598,0.3610345523182419,0.0902882785378788,0.10777799526975547,test
ALL_SCENARIOS,Stacked,1320,1320,0.045845007040706806,0.05395665108545673,0.3424429319234894,0.08458814574348958,0.10029857814477217,0.0458760631462865,0.05400464727765598,0.34016216902178253,0.08379880120454544,0.09994494196239383,test
S0,M1,120,0,0.12235066883640718,0.1449682737321087,,0.061176562500000004,0.07248551758431608,0.12235066883640718,0.1449682737321087,,0.061176562500000004,0.07248551758431607,val
S0,M2,120,0,0.05108820318155555,0.05927377624469895,,0.025542812500000005,0.029635493893521773,0.051088203181555554,0.05927377624469895,,0.0255428125,0.029635493893521773,val
S0,M3,120,120,0.12203034258868203,0.14272328438487197,0.309043717085839,0.0910262885625,0.11909710889621747,0.12203034258868203,0.14272328438487195,0.30904371708583894,0.0910262885625,0.11909710889621747,val
S0,M4,120,120,0.042609646250360816,0.049089511252808776,0.4092543753332452,0.10077540314583332,0.10863089173979075,0.042609646250360816,0.04908951125280878,0.4092543753332452,0.10077540314583334,0.10863089173979075,val
S0,Stacked,120,120,0.042609646250360816,0.049089511252808776,0.309043717085839,0.07665945279166667,0.0890329696718973,0.042609646250360816,0.04908951125280878,0.30904371708583894,0.07665945279166667,0.08903296967189729,val
S1,M1,360,0,0.11926941968320283,0.14205923320337083,,0.05971899305555556,0.07118645161015391,0.11926941968320283,0.14205923320337083,,0.05971899305555556,0.07118645161015391,val
S1,M2,360,0,0.051565370155023584,0.06068598623112138,,0.0258546875,0.030687020398824198,0.051565370155023584,0.06068598623112139,,0.0258546875,0.030687020398824198,val
S1,M3,360,360,0.11237710018756875,0.13299303003995808,0.31263150112676474,0.08778736073611113,0.11495768574923598,0.11237710018756873,0.1329930300399581,0.3126315011267647,0.08778736073611111,0.11495768574923598,val
S1,M4,360,360,0.044775221620092134,0.05206106374414109,0.4047042634549119,0.09946885616666667,0.11269097899276864,0.04477522162009213,0.052061063744141094,0.4047042634549118,0.09946885616666666,0.11269097899276864,val
S1,Stacked,360,360,0.044775221620092134,0.05206106374414109,0.31263150112676474,0.07384629823611111,0.08788197551934905,0.04477522162009213,0.052061063744141094,0.3126315011267647,0.07384629823611112,0.08788197551934904,val
S2,M1,360,0,0.12527760639796753,0.1485589858104515,,0.07378996527777779,0.08271262931118448,0.12527760639796753,0.1485589858104515,,0.07378996527777779,0.08271262931118448,val
S2,M2,360,0,0.052696757066828,0.062123607664653524,,0.03627232638888889,0.045396076604875525,0.05269675706682799,0.062123607664653524,,0.036272326388888894,0.045396076604875525,val
S2,M3,360,360,0.1179668916382472,0.138146172751495,0.30968015984358455,0.0912394200486111,0.11943135599561655,0.1179668916382472,0.13814617275149502,0.30968015984358455,0.0912394200486111,0.11943135599561656,val
S2,M4,360,360,0.04307861907604474,0.050443542579521536,0.4015098899896158,0.09799869827777777,0.10718406591697177,0.04307861907604473,0.05044354257952154,0.4015098899896158,0.09799869827777778,0.10718406591697176,val
S2,Stacked,360,360,0.04307861907604474,0.050443542579521536,0.30968015984358455,0.07670421939583333,0.08926543055315242,0.04307861907604473,0.05044354257952154,0.30968015984358455,0.07670421939583333,0.0892654305531524,val
S3,M1,480,0,0.11888770301599413,0.1412038627919195,,0.07585892270833333,0.0832754877662985,0.11888770301599413,0.14120386279191952,,0.07585892270833335,0.08327548776629849,val
S3,M2,480,0,0.0499199831176923,0.059223606443746815,,0.04028630543229167,0.05158711471121927,0.049919983117692295,0.05922360644374681,,0.04028630543229166,0.05158711471121927,val
S3,M3,480,480,0.11212859415038,0.13152214930239464,0.31337827343360686,0.08696482040625,0.11531867324175785,0.11212859415038,0.13152214930239467,0.3133782734336068,0.08696482040625,0.11531867324175786,val
S3,M4,480,480,0.0450513731980767,0.052723929427418936,0.3884046582460151,0.09478147573437501,0.11201035726288358,0.0450513731980767,0.05272392942741893,0.3884046582460151,0.094781475734375,0.11201035726288358,val
S3,Stacked,480,480,0.0450513731980767,0.052723929427418936,0.31337827343360686,0.07362810071875,0.08838783676360752,0.0450513731980767,0.05272392942741893,0.3133782734336068,0.07362810071875,0.08838783676360752,val
ALL_SCENARIOS,M1,1320,0,0.12144634948339292,0.14419758888446263,,0.06763611088541667,0.07741502156798824,0.12104932355853588,0.14378530744920487,,0.06955810257575759,0.07884406467395684,val
ALL_SCENARIOS,M2,1320,0,0.051317578380274856,0.06032674414605517,,0.031989032955295135,0.03932642640211019,0.05123222884707996,0.06041790760972826,,0.033915370535984854,0.042203022159045284,val
ALL_SCENARIOS,M3,1320,1320,0.11612573214121949,0.13634615911967993,0.3111834128724488,0.08925447243836807,0.11720120597070696,0.11468879042433179,0.13474813545171,0.31177198124830124,0.08872417386742425,0.1166853570088915,val
ALL_SCENARIOS,M4,1320,1320,0.0438787150361436,0.051079511750972584,0.40096829675594703,0.09825610833116319,0.11012907347810369,0.04421606010282529,0.05159082253940658,0.39831958805917167,0.0974821790378788,0.11057249595641333,val
